,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-09-17 10:10:00,46041,1868
1,Bayern,2020-09-17 10:10:00,63632,2647
2,Berlin,2020-09-17 10:10:00,12593,227
3,Branden­burg,2020-09-17 10:10:00,4051,169
4,Bremen,2020-09-17 10:10:00,2174,59
5,Hamburg,2020-09-17 10:10:00,6964,268
6,Hessen,2020-09-17 10:10:00,17233,542
7,Meck­lenburg- Vor­pommern,2020-09-17 10:10:00,1081,20
8,Nieder­sachsen,2020-09-17 10:10:00,18256,667
9,Nord­rhein-West­falen,2020-09-17 10:10:00,63565,1839
10,Rhein­land-Pfalz,2020-09-17 10:10:00,9929,247
11,Saarland,2020-09-17 10:10:00,3262,176
12,Sachsen,2020-09-17 10:10:00,6522,226
13,Sachsen-Anhalt,2020-09-17 10:10:00,2378,66
14,Schles­wig-Holstein,2020-09-17 10:10:00,4311,161
15,Thüringen,2020-09-17 10:10:00,3865,189
16,Gesamt,2020-09-17 10:10:00,265857,9371
