State,Update,Deaths,Confirmed
Baden-Württemberg,2020-02-29,0.0,14
Baden-Württemberg,2020-03-01,0.0,15
Baden-Württemberg,2020-03-02,0.0,19
Baden-Württemberg,2020-03-03,0.0,28
Baden-Württemberg,2020-03-04,0.0,50
Baden-Württemberg,2020-03-05,0.0,73
Baden-Württemberg,2020-03-06,0.0,96
Baden-Württemberg,2020-03-07,0.0,170
Baden-Württemberg,2020-03-08,0.0,182
Baden-Württemberg,2020-03-09,0.0,204
Baden-Württemberg,2020-03-10,0.0,237
Baden-Württemberg,2020-03-11,0.0,277
Baden-Württemberg,2020-03-12,1.0,454
Baden-Württemberg,2020-03-13,1.0,454
Baden-Württemberg,2020-03-14,2.0,569
Baden-Württemberg,2020-03-15,3.0,827
Baden-Württemberg,2020-03-16,3.0,1105
Baden-Württemberg,2020-03-17,2.0,1479
Baden-Württemberg,2020-03-18,2.0,1609
Baden-Württemberg,2020-03-19,6.0,2155
Baden-Württemberg,2020-03-20,10.0,2746
Baden-Württemberg,2020-03-21,16.0,3668
Baden-Württemberg,2020-03-22,21.0,3807
Baden-Württemberg,2020-03-23,21.0,3811
Baden-Württemberg,2020-03-24,30.0,5348
Bayern,2020-02-29,0.0,15
Bayern,2020-03-01,0.0,23
Bayern,2020-03-02,0.0,25
Bayern,2020-03-03,0.0,37
Bayern,2020-03-04,0.0,48
Bayern,2020-03-05,0.0,70
Bayern,2020-03-06,0.0,117
Bayern,2020-03-07,0.0,134
Bayern,2020-03-08,0.0,172
Bayern,2020-03-09,0.0,256
Bayern,2020-03-10,0.0,314
Bayern,2020-03-11,0.0,366
Bayern,2020-03-12,1.0,500
Bayern,2020-03-13,1.0,558
Bayern,2020-03-14,1.0,681
Bayern,2020-03-15,4.0,886
Bayern,2020-03-16,5.0,1067
Bayern,2020-03-17,4.0,1109
Bayern,2020-03-18,4.0,1243
Bayern,2020-03-19,8.0,1692
Bayern,2020-03-20,12.0,2401
Bayern,2020-03-21,19.0,2960
Bayern,2020-03-22,21.0,3650
Bayern,2020-03-23,26.0,4892
Bayern,2020-03-24,30.0,5754
Berlin,2020-03-02,0.0,1
Berlin,2020-03-03,0.0,3
Berlin,2020-03-04,0.0,7
Berlin,2020-03-05,0.0,13
Berlin,2020-03-06,0.0,19
Berlin,2020-03-07,0.0,28
Berlin,2020-03-08,0.0,40
Berlin,2020-03-09,0.0,48
Berlin,2020-03-10,0.0,48
Berlin,2020-03-11,0.0,90
Berlin,2020-03-12,0.0,137
Berlin,2020-03-13,0.0,174
Berlin,2020-03-14,0.0,216
Berlin,2020-03-15,0.0,265
Berlin,2020-03-16,0.0,300
Berlin,2020-03-17,0.0,345
Berlin,2020-03-18,0.0,391
Berlin,2020-03-19,0.0,573
Berlin,2020-03-20,0.0,731
Berlin,2020-03-21,1.0,866
Berlin,2020-03-22,1.0,1024
Berlin,2020-03-23,1.0,1077
